phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
after,http://127.0.0.1:4180/ecosystem/kujo/,detail,2026-08-11T02:04:09.529Z,local static output; Lighthouse mobile simulated throttling,13.0.1,14596,141765,36394,242721,22685,13,3681.7361,NOT AVAILABLE — DATA ACCESS REQUIRED,0,1,raw/performance/after-detail.json,Lab run; not field Core Web Vitals. One run per representative template.
after,http://127.0.0.1:4180/ecosystem/,ecosystem,2026-08-11T02:03:50.337Z,local static output; Lighthouse mobile simulated throttling,13.0.1,35092,141765,36394,950813,22685,16,6381.6319,NOT AVAILABLE — DATA ACCESS REQUIRED,0.000453462243657042,1,raw/performance/after-ecosystem.json,Lab run; not field Core Web Vitals. One run per representative template.
after,http://127.0.0.1:4180/,home,2026-08-11T02:03:30.194Z,local static output; Lighthouse mobile simulated throttling,13.0.1,12163,141765,36394,242721,22685,13,3757.1937000000003,NOT AVAILABLE — DATA ACCESS REQUIRED,0,3,raw/performance/after-home.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:4179/ecosystem/kujo/,detail,2026-08-11T01:42:12.555Z,local static output; Lighthouse mobile simulated throttling,13.0.1,14704,141765,36394,242721,22685,13,3609.6051,NOT AVAILABLE — DATA ACCESS REQUIRED,0,4,raw/performance/baseline-detail.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:4179/ecosystem/,ecosystem,2026-08-11T01:41:36.011Z,local static output; Lighthouse mobile simulated throttling,13.0.1,34208,141765,36394,1919473,22685,20,7902.9038,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0004445259789140058,6,raw/performance/baseline-ecosystem.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:4179/,home,2026-08-11T01:40:51.278Z,local static output; Lighthouse mobile simulated throttling,13.0.1,11981,141765,36394,242721,22685,13,3729.8450000000003,NOT AVAILABLE — DATA ACCESS REQUIRED,0,52,raw/performance/baseline-home.json,Lab run; not field Core Web Vitals. One run per representative template.
