phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://kujolang.ai/ecosystem/,directory,2026-09-05T14:11:53.100Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,86369,153799,84232,829641,22496,41,2884.1025,NOT AVAILABLE — DATA ACCESS REQUIRED,0,101,raw/baseline-lighthouse/ecosystem.json,"{""runtimeError"": null, ""runWarnings"": [""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 0.79, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
baseline,https://kujolang.ai/,home,2026-09-05T14:11:24.979Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,18439,153799,84232,242341,22496,18,1808.507,NOT AVAILABLE — DATA ACCESS REQUIRED,0,183,raw/baseline-lighthouse/home.json,"{""runtimeError"": null, ""runWarnings"": [""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 0.93, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
baseline,https://kujolang.ai/ecosystem/tribunal/,detail,2026-09-05T14:21:56.859Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,22314,153799,84232,75385,22496,17,1082.0495,NOT AVAILABLE — DATA ACCESS REQUIRED,0,231,raw/baseline-retry-lighthouse/ecosystem-tribunal.json,"{""runtimeError"": null, ""runWarnings"": [""Clearing the browser cache timed out. Try auditing this page again and file a bug if the issue persists."", ""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 0.95, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,https://kujolang.ai/ecosystem/tribunal/,detail,2026-09-05T15:31:37.335Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,22816,153799,84232,75385,22496,16,1684.1639999999998,NOT AVAILABLE — DATA ACCESS REQUIRED,0,131,raw/after-lighthouse/ecosystem-tribunal.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.95, ""accessibility"": 1, ""best-practices"": 0.96, ""seo"": 1}}"
after,https://kujolang.ai/ecosystem/,directory,2026-09-05T15:31:01.739Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,86369,153799,84232,829641,22496,41,2307.4625,NOT AVAILABLE — DATA ACCESS REQUIRED,0.002993769630845958,150,raw/after-lighthouse/ecosystem.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.93, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,chrome-error://chromewebdata/,detail,2026-09-05T15:30:49.716Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/after-lighthouse/home.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""The page may not be loading as expected because your test URL (https://kujolang.ai/) was redirected to chrome-error://chromewebdata/. Try testing the second URL directly."", ""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests.""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
after,https://kujolang.ai/,home,2026-09-05T15:37:38.593Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/after-retry-lighthouse/home.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests.""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
