phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
after,https://kujolang.ai/ecosystem/ability/,ecosystem detail,2026-09-04T23:41:01.009Z,Lighthouse default simulated mobile; headless Chrome; local Mac,13.4.1,26200,153799,84232,67489,22496,17,3919.759,NOT AVAILABLE — DATA ACCESS REQUIRED,0,67,raw/after-ability-lighthouse.json,Resource bytes are decoded Lighthouse network sizes. Localhost new-guide smoke is not comparable to live runs. Baseline single run; after repeated when anomalous. Inspect raw runWarnings/CPU calibration; no field outcome claim
after,https://kujolang.ai/ecosystem/ability/,ecosystem detail,2026-09-04T23:46:04.256Z,Lighthouse default simulated mobile; headless Chrome; local Mac,13.4.1,26200,153799,84232,67489,22496,17,5581.9665,NOT AVAILABLE — DATA ACCESS REQUIRED,0,111,raw/after-ability-repeat-lighthouse.json,Resource bytes are decoded Lighthouse network sizes. Localhost new-guide smoke is not comparable to live runs. Baseline single run; after repeated when anomalous. Inspect raw runWarnings/CPU calibration; no field outcome claim
baseline,https://kujolang.ai/ecosystem/ability/,ecosystem detail,2026-09-04T22:44:00.559Z,Lighthouse default simulated mobile; headless Chrome; local Mac,13.4.1,26015,153799,84232,67489,22496,17,1446.408,NOT AVAILABLE — DATA ACCESS REQUIRED,0,228,raw/baseline-ability-lighthouse.json,Resource bytes are decoded Lighthouse network sizes. Localhost new-guide smoke is not comparable to live runs. Baseline single run; after repeated when anomalous. Inspect raw runWarnings/CPU calibration; no field outcome claim
